dataset,budget,method,corr_threshold,seed_a,seed_b,rule_jaccard,meta_cluster_jaccard
covtype_binary_20000,50,c_prune_loro_bce,0.75,37,41,0.030927835051546393,0.5909090909090909
covtype_binary_20000,50,c_prune_loro_bce,0.75,37,43,0.06382978723404255,0.5714285714285714
covtype_binary_20000,50,c_prune_loro_bce,0.75,41,43,0.02040816326530612,0.6363636363636364
covtype_binary_20000,100,budget_prune,0.75,1,7,0.19135802469135801,0.9230769230769231
covtype_binary_20000,100,budget_prune,0.75,1,13,0.2662337662337662,0.8461538461538461
covtype_binary_20000,100,budget_prune,0.75,1,19,0.2,0.6666666666666666
covtype_binary_20000,100,budget_prune,0.75,1,23,0.16167664670658682,0.7857142857142857
covtype_binary_20000,100,budget_prune,0.75,1,29,0.17261904761904762,0.7333333333333333
covtype_binary_20000,100,budget_prune,0.75,1,31,0.2356687898089172,0.7692307692307693
covtype_binary_20000,100,budget_prune,0.75,1,37,0.2645161290322581,0.9230769230769231
covtype_binary_20000,100,budget_prune,0.75,1,41,0.22929936305732485,0.9230769230769231
covtype_binary_20000,100,budget_prune,0.75,1,43,0.22012578616352202,0.9230769230769231
covtype_binary_20000,100,budget_prune,0.75,7,13,0.2125,0.9230769230769231
covtype_binary_20000,100,budget_prune,0.75,7,19,0.13690476190476192,0.7333333333333333
covtype_binary_20000,100,budget_prune,0.75,7,23,0.10285714285714286,0.7333333333333333
covtype_binary_20000,100,budget_prune,0.75,7,29,0.15294117647058825,0.8
covtype_binary_20000,100,budget_prune,0.75,7,31,0.22929936305732485,0.8461538461538461
covtype_binary_20000,100,budget_prune,0.75,7,37,0.21875,1.0
covtype_binary_20000,100,budget_prune,0.75,7,41,0.21518987341772153,1.0
covtype_binary_20000,100,budget_prune,0.75,7,43,0.23717948717948717,1.0
covtype_binary_20000,100,budget_prune,0.75,13,19,0.19135802469135801,0.7857142857142857
covtype_binary_20000,100,budget_prune,0.75,13,23,0.13372093023255813,0.6666666666666666
covtype_binary_20000,100,budget_prune,0.75,13,29,0.17857142857142858,0.7333333333333333
covtype_binary_20000,100,budget_prune,0.75,13,31,0.21875,0.7692307692307693
covtype_binary_20000,100,budget_prune,0.75,13,37,0.26282051282051283,0.9230769230769231
covtype_binary_20000,100,budget_prune,0.75,13,41,0.19753086419753085,0.9230769230769231
covtype_binary_20000,100,budget_prune,0.75,13,43,0.28289473684210525,0.9230769230769231
covtype_binary_20000,100,budget_prune,0.75,19,23,0.32413793103448274,0.7333333333333333
covtype_binary_20000,100,budget_prune,0.75,19,29,0.3087248322147651,0.6875
covtype_binary_20000,100,budget_prune,0.75,19,31,0.09714285714285714,0.7142857142857143
covtype_binary_20000,100,budget_prune,0.75,19,37,0.17575757575757575,0.7333333333333333
covtype_binary_20000,100,budget_prune,0.75,19,41,0.12352941176470589,0.7333333333333333
covtype_binary_20000,100,budget_prune,0.75,19,43,0.14285714285714285,0.7333333333333333
covtype_binary_20000,100,budget_prune,0.75,23,29,0.29605263157894735,0.6875
covtype_binary_20000,100,budget_prune,0.75,23,31,0.12138728323699421,0.7142857142857143
covtype_binary_20000,100,budget_prune,0.75,23,37,0.15976331360946747,0.7333333333333333
covtype_binary_20000,100,budget_prune,0.75,23,41,0.1286549707602339,0.7333333333333333
covtype_binary_20000,100,budget_prune,0.75,23,43,0.15476190476190477,0.7333333333333333
covtype_binary_20000,100,budget_prune,0.75,29,31,0.10674157303370786,0.6666666666666666
covtype_binary_20000,100,budget_prune,0.75,29,37,0.14367816091954022,0.8
covtype_binary_20000,100,budget_prune,0.75,29,41,0.12,0.8
covtype_binary_20000,100,budget_prune,0.75,29,43,0.16568047337278108,0.8
covtype_binary_20000,100,budget_prune,0.75,31,37,0.2645161290322581,0.8461538461538461
covtype_binary_20000,100,budget_prune,0.75,31,41,0.18404907975460122,0.8461538461538461
covtype_binary_20000,100,budget_prune,0.75,31,43,0.2679738562091503,0.8461538461538461
covtype_binary_20000,100,budget_prune,0.75,37,41,0.2111801242236025,1.0
covtype_binary_20000,100,budget_prune,0.75,37,43,0.30666666666666664,1.0
